Rank,Name,POP2010,AREAkm,AREAmi
122,"Fayetteville, NC",310282,512.90,198.00
123,"Santa Rosa, CA",308231,253.80,98.00
124,"Aguadilla--Isabela--San Sebastian, PR",306196,619.70,239.30
125,"Ann Arbor, MI",306022,413.30,159.60
126,"Shreveport, LA",298317,479.70,185.20
127,"Rockford, IL",296863,396.30,153.00
128,"Trenton, NJ",296668,273.40,105.60
129,"Fayetteville--Springdale--Rogers, AR—MO",295083,486.20,187.70
130,"Round Lake Beach--McHenry--Grayslake, IL—WI",290373,395.20,152.60
131,"Lexington-Fayette, KY",290263,226.70,87.50
132,"Huntsville, AL",286692,543.30,209.80
133,"Asheville, NC",280648,686.00,264.90
134,"Davenport, IA—IL",280051,358.00,138.20
135,"Canton, OH",279245,431.10,166.50
136,"South Bend, IN—MI",278165,417.20,161.10
137,"Antioch, CA",277634,210.70,81.40
138,"Springfield, MO",273724,368.60,142.30
139,"Peoria, IL",266921,371.70,143.50
140,"Reading, PA",266254,269.00,103.80
141,"Fort Collins, CO",264465,284.00,109.70
142,"Montgomery, AL",263907,397.80,153.60
143,"Lakeland, FL",262596,378.20,146.00
144,"Savannah, GA",260677,428.60,165.50
145,"Lincoln, NE",258719,229.10,88.50
146,"Santa Clarita, CA",258653,198.70,76.70
147,"Columbus, GA—AL",253602,380.80,147.10
148,"Lafayette, LA",252720,462.60,178.60
149,"Anchorage, AK",251243,220.10,85.00
150,"Atlantic City, NJ",248402,324.10,125.10
151,"Eugene, OR",247421,224.70,86.80
152,"Barnstable Town, MA",246695,718.10,277.30
153,"Tallahassee, FL",240223,327.60,126.50
154,"Conroe--The Woodlands, TX",239938,345.30,133.30
155,"Lubbock, TX",237356,249.80,96.50
156,"Salem, OR",236632,196.60,75.90
157,"Laredo, TX",235730,170.10,65.70
158,"York, PA",232045,342.40,132.20
159,"Evansville, IN—KY",229351,307.80,118.80
160,"Nashua, NH—MA",226400,472.10,182.30
161,"Wilmington, NC",219957,346.50,133.80
162,"Visalia, CA",219454,164.30,63.40
163,"Killeen, TX",217630,219.70,84.80
164,"Brownsville, TX",217585,211.20,81.50
165,"Appleton, WI",216154,268.80,103.80
166,"Myrtle Beach--Socastee, SC—NC",215304,493.10,190.40
167,"Concord, NC",214881,466.70,180.20
168,"Thousand Oaks, CA",214811,221.80,85.60
169,"Aberdeen--Bel Air South--Bel Air North, MD",213751,339.60,131.10
170,"Hickory, NC",212195,677.60,261.60
171,"Kennewick--Pasco, WA",210975,265.40,102.50
172,"Roanoke, VA",210111,321.60,124.20
173,"Kalamazoo, MI",209703,341.10,131.70
174,"Norwich--New London, CT—RI",209190,393.70,152.00
175,"Gulfport, MS",208948,426.10,164.50
176,"Green Bay, WI",206520,272.00,105.00
177,"Portland, ME",203914,352.00,135.90
178,"Huntington, WV—KY—OH",202637,337.60,130.30
179,"Winter Haven, FL",201289,348.00,134.40
180,"Bremerton, WA",198979,353.50,136.50
181,"Avondale--Goodyear, AZ",197041,227.70,87.90
182,"Amarillo, TX",196651,210.20,81.20
183,"Erie, PA",196611,213.00,82.20
184,"Santa Barbara, CA",195861,144.60,55.90
185,"Waterbury, CT",194535,233.80,90.30
186,"Fort Walton Beach--Navarre--Wright, FL",191917,312.10,120.50
187,"Gainesville, FL",187781,225.40,87.00
188,"Salinas, CA",184809,126.80,49.00
189,"Hagerstown, MD—WV—PA",182696,345.30,133.30
190,"Deltona, FL",182169,249.80,96.50
191,"Lorain--Elyria, OH",180956,259.50,100.20
192,"Spartanburg, SC",180786,492.20,190.00
193,"Cedar Rapids, IA",177844,216.10,83.50
194,"Fargo, ND—MN",176676,182.00,70.30
195,"Olympia--Lacey, WA",176617,273.50,105.60
196,"Waco, TX",172378,233.80,90.30
197,"College Station--Bryan, TX",171345,185.00,71.40
198,"McKinney, TX",170030,191.90,74.10
199,"North Port--Port Charlotte, FL",169541,308.10,118.90
200,"Gastonia, NC—SC",169495,359.10,138.60
201,"Danbury, CT—NY",168136,341.00,131.70
202,"High Point, NC",166485,292.70,113.00
203,"Vallejo, CA",165074,108.80,42.00
204,"Santa Cruz, CA",163703,151.10,58.40
205,"Hemet, CA",163379,127.20,49.10
206,"Springfield, IL",161316,239.10,92.30
207,"Muskegon, MI",161280,290.80,112.30
208,"Clarksville, TN—KY",158655,283.80,109.60
209,"Manchester, NH",158377,223.10,86.20
210,"Binghamton, NY—PA",158084,192.00,74.10
211,"Ocala, FL",156909,290.30,112.10
212,"Sioux Falls, SD",156777,166.20,64.20
213,"Medford, OR",154081,167.60,64.70
214,"Charleston, WV",153199,254.40,98.20
215,"Port Arthur, TX",153150,273.40,105.60
216,"Nampa, ID",151499,179.70,69.40
217,"Topeka, KS",150003,206.10,79.60
218,"Ponce, PR",149539,114.30,44.10
219,"New Bedford, MA",149443,142.70,55.10
220,"Sebastian--Vero Beach South--Florida Ridge, FL",149422,250.30,96.70
221,"Spring Hill, FL",148220,297.80,115.00
222,"Beaumont, TX",147922,237.50,91.70
223,"Lafayette, IN",147725,166.00,64.10
224,"Champaign, IL",145361,121.50,46.90
225,"Marysville, WA",145140,211.90,81.80
226,"Houma, LA",144875,236.80,91.40
227,"Elkhart, IN—MI",143592,237.90,91.90
228,"Lake Charles, LA",143440,327.70,126.50
229,"Panama City, FL",143280,238.00,91.90
230,"Frederick, MD",141576,190.10,73.40
231,"Fredericksburg, VA",141238,201.50,77.80
232,"Arecibo, PR",139171,217.70,84.10
233,"Tuscaloosa, AL",139114,231.80,89.50
234,"Macon, GA",137570,253.90,98.00
235,"Merced, CA",136969,123.10,47.50
236,"Pueblo, CO",136550,192.20,74.20
237,"Harlingen, TX",135663,214.30,82.80
238,"Yuma, AZ—CA",135267,152.30,58.80
239,"Racine, WI",133700,128.00,49.40
240,"Fairfield, CA",133683,102.20,39.50
241,"Murfreesboro, TN",133228,200.30,77.30
242,"Warner Robins, GA",133109,260.60,100.60
243,"Bloomington--Normal, IL",132600,127.40,49.20
244,"Leesburg--Eustis--Tavares, FL",131337,244.60,94.40
245,"Gainesville, GA",130846,327.00,126.30
246,"Santa Maria, CA",130447,75.40,29.10
247,"Tyler, TX",130247,233.70,90.20
248,"Yakima, WA",129534,155.00,59.80
249,"Athens-Clarke County, GA",128754,254.80,98.40
250,"Las Cruces, NM",128600,167.60,64.70
251,"Grand Junction, CO",128124,204.10,78.80
252,"Odessa, TX",126405,152.60,58.90
253,"Saginaw, MI",126265,184.40,71.20
254,"Simi Valley, CA",125206,81.40,31.40
255,"Columbia, MO",124748,160.10,61.80
256,"Kenosha, WI—IL",124064,132.60,51.20
257,"Fort Smith, AR—OK",122947,183.30,70.80
258,"Mauldin--Simpsonville, SC",120577,216.40,83.60
259,"Johnson City, TN",120415,284.70,109.90
260,"Duluth, MN—WI",120378,182.50,70.50
261,"Burlington, NC",119911,234.20,90.40
262,"South Lyon--Howell, MI",119509,266.20,102.80
263,"San German--Cabo Rojo--Sabana Grande, PR",118199,247.30,95.50
264,"Greeley, CO",117825,106.80,41.20
265,"Midland, TX",117807,137.00,52.90
266,"Greenville, NC",117798,168.90,65.20
267,"Redding, CA",117731,184.00,71.10
268,"Utica, NY",117328,161.60,62.40
269,"Leominster--Fitchburg, MA",116960,168.40,65.00
270,"Yuba City, CA",116719,100.10,38.70
