FID,X,Y,N1,D1,N2,D2,N3,D3
F67,12063409.87890,3507345.88300,F68,611.4479049212598,F66,766.2920773514971,F267,852.9618305185118
F68,12063003.20980,3506889.27728,F267,436.58100015485763,F67,611.4479049212598,F72,648.8673076347495
F69,12062263.90350,3506619.44941,F71,383.9611649079778,F70,432.25627171714535,F269,643.6814504961831
F70,12062073.98230,3506231.15130,F269,387.3987725700452,F69,432.25627171714535,F71,434.6169565162445
F71,12062500.09130,3506316.72594,F269,355.04655927045314,F69,383.9611649079778,F72,414.67370036254454
F72,12062908.91170,3506247.29858,F267,413.03139306412413,F71,414.67370036254454,F269,596.4045767806593
F73,12061237.72610,3505200.92272,F792,296.4652609706885,F793,375.35988626021805,F20,465.2903652770915
F74,12061162.27480,3505751.61355,F792,317.1617170340562,F794,459.14549200559304,F73,555.8356671871043
F75,12057849.69510,3514321.76340,F76,253.972889198732,F214,391.99561644484885,F86,538.9865244081351
F76,12058092.99940,3514248.92628,F75,253.972889198732,F78,328.6712403679744,F85,414.9459158090951
F77,12058326.84670,3513691.62917,F78,348.12955951563293,F81,420.8126746467791,F207,426.01704261494507
F78,12058346.08230,3514039.22690,F76,328.6712403679744,F77,348.12955951563293,F85,466.0375083481729
F79,12057551.39060,3513199.39951,F220,339.05283837084005,F84,372.07885457502425,F221,430.46847017825445
F80,12057098.61300,3513253.46633,F84,349.7965985403794,F82,437.50960831644664,F79,455.9942719886028
F81,12058112.29990,3513329.61677,F218,387.24728925306204,F77,420.8126746467791,F207,477.3191675603011
F82,12056733.08320,3513493.88809,F188,265.3612494810268,F80,437.50960831644664,F83,523.7572921777122
F83,12057010.72470,3513938.00170,F215,279.80319471278494,F82,523.7572921777122,F214,530.7476593515486
F84,12057274.35180,3512951.02041,F221,338.9195003860459,F80,349.7965985403794,F79,372.07885457502425
F85,12058424.39740,3514498.63707,F213,389.5833426400303,F76,414.9459158090951,F78,466.0375083481729
F86,12057349.94880,3514523.65473,F152,303.71394475076477,F214,383.35898728436837,F153,404.88614882921473
F87,12059998.74860,3505105.51051,F88,569.4756164248321,F793,896.1631541907958,F792,1127.183875109596
F88,12059531.30720,3505430.78119,F87,569.4756164248321,F93,737.5122215193284,F89,939.4833942414257
F89,12059941.87630,3506275.80312,F266,366.9123051590041,F90,487.68573340764567,F92,719.3287299047225
F90,12060020.08580,3506757.17683,F266,256.12652673967045,F89,487.68573340764567,F92,763.0134228003656
F91,12059238.30590,3507002.68880,F92,442.12796117590875,F266,686.5105678399398,F90,819.4241511309486
F92,12059282.25920,3506562.75103,F91,442.12796117590875,F266,526.4772119274729,F89,719.3287299047225
F93,12058855.69610,3505726.54109,F94,346.86533348263464,F95,732.0151523570029,F88,737.5122215193284
F94,12058529.68130,3505608.09317,F93,346.86533348263464,F95,587.7729657352351,F23,845.0963044934598
F95,12058237.04150,3506117.83723,F94,587.7729657352351,F96,725.4661431294224,F93,732.0151523570029
F96,12057785.22580,3506685.43189,F95,725.4661431294224,F97,736.1333072754293,F98,929.178574525786
F97,12057434.08150,3507332.41715,F760,488.6001441331516,F98,533.4011575436928,F96,736.1333072754293
F98,12057890.39030,3507608.64002,F97,533.4011575436928,F99,606.8479204020229,F760,866.8068185464616
F99,12058274.49740,3508078.45502,F98,606.8479204020229,F100,863.2495169175957,F97,1123.7755062508302
F100,12059137.20440,3508109.05503,F101,677.0925941597919,F99,863.2495169175957,F91,1110.97603402882
F101,12059810.77650,3508040.09847,F100,677.0925941597919,F102,707.8512407182038,F91,1184.880336267505
F102,12060492.05110,3508232.23982,F101,707.8512407182038,F103,726.7094899685213,F100,1360.4352513046272
F103,12061195.41090,3508414.97371,F757,692.7960100678465,F102,726.7094899685213,F104,831.6488931561793
F104,12062026.19990,3508377.16473,F757,312.891806279623,F103,831.6488931561793,F105,889.6948014065239
F105,12062794.20300,3508826.30622,F106,527.9237189051777,F104,889.6948014065239,F112,958.9890471632739
F106,12062572.96030,3509305.63400,F105,527.9237189051777,F112,713.2400736342854,F107,858.4944249369078
F107,12061715.84420,3509354.26186,F108,672.5017513883114,F757,730.1315989617015,F106,858.4944249369078
F108,12061313.88600,3509893.41695,F107,672.5017513883114,F109,874.9383267301781,F757,1366.7955469123676
F109,12061328.42800,3510768.23442,F108,874.9383267301781,F107,1466.086529662013,F110,1478.126753009215
F110,12062678.68050,3511369.63020,F111,825.52353082292,F109,1478.126753009215,F112,1723.9854895423227
F111,12062791.66950,3510551.87560,F110,825.52353082292,F112,914.8077461369377,F106,1265.287255817807
F112,12063157.99260,3509713.61514,F106,713.2400736342854,F111,914.8077461369377,F105,958.9890471632739
F113,12058806.76900,3512139.90556,F202,425.2018701688229,F114,492.44859211904344,F197,694.794596020756
F114,12058923.32680,3512618.36130,F202,229.62692052849465,F204,336.1831360459206,F113,492.44859211904344
F115,12059834.99140,3513483.44749,F116,315.83766656535056,F118,392.46972980760484,F117,502.5437966225894
F116,12060034.73180,3513728.10481,F117,188.5839728105957,F118,245.9347413366923,F115,315.83766656535056
F117,12060126.17680,3513893.03427,F116,188.5839728105957,F118,340.7968698970386,F115,502.5437966225894
F118,12060218.87610,3513565.08710,F116,245.9347413366923,F119,263.19026576693824,F117,340.7968698970386
F119,12060469.53770,3513484.85071,F118,263.19026576693824,F120,299.1686652687414,F121,349.63708209407855
F120,12060340.36700,3513215.00479,F121,252.41132177376363,F119,299.1686652687414,F118,370.5639790344708
