FID,X,Y
F411,12035375.87330,3519281.02940
F412,12035114.95190,3520093.75875
F413,12035511.52590,3519953.24755
F414,12035315.32910,3520341.67886
F415,12035021.44810,3520575.31258
F416,12035251.07200,3520756.49233
F417,12035115.34760,3521055.26273
F418,12034762.10650,3521471.96137
F419,12035260.99060,3521757.91093
F420,12035331.31300,3522354.99898
F421,12035754.35050,3522706.38640
F422,12035472.06110,3522719.16623
F423,12035262.20650,3522963.94888
F424,12035144.98820,3518736.32511
F425,12035280.22060,3518386.88585
F426,12035473.11160,3517862.53618
F427,12034902.14460,3518319.68389
F428,12035205.50780,3517505.02836
F429,12035694.33590,3517267.41630
F430,12035852.41920,3516829.80071
F431,12035496.28970,3516731.10931
F432,12036194.09410,3516106.79822
F433,12036045.49920,3516509.08252
F434,12034837.31660,3517363.60542
F435,12034689.56360,3518233.81496
F436,12034405.31390,3519515.25400
F437,12034014.96590,3519452.89553
F438,12036847.31290,3515900.42101
F439,12036431.38100,3515521.62354
F440,12036587.61360,3515097.54236
F441,12037005.69840,3514975.02785
F442,12036875.25870,3514595.38589
F443,12037136.77490,3514702.24132
F444,12037374.55040,3514960.25163
F445,12037550.97190,3515110.49805
F446,12037660.20890,3514398.29442
F447,12037140.67360,3514160.89955
F448,12037450.04330,3514227.26392
F449,12036943.32910,3514007.35524
F450,12037245.95650,3513399.18257
F451,12036763.62510,3513599.34523
F452,12036826.46980,3513018.08032
F453,12037284.83170,3512548.74726
F454,12037790.51050,3512322.80972
F455,12037461.51150,3512221.22823
F456,12037607.00330,3512130.85407
F457,12037384.36500,3512082.73081
F458,11994080.05300,3458090.44870
F459,11995650.29620,3458458.09724
F460,11996497.00290,3458332.74776
F461,11996763.96460,3458192.60860
F462,11996897.17990,3458121.81478
F463,11998440.70340,3457957.30658
F464,11998816.36730,3458458.47782
F465,11999536.74190,3457670.63360
F466,11999394.81930,3457336.07127
F467,12000679.03320,3458371.29361
F468,12000517.53350,3459065.43724
F469,12001172.39380,3459193.90286
F470,12001648.92240,3459608.73471
F471,12002249.15670,3459265.21801
F472,12004112.28920,3459113.97585
F473,12004023.49210,3459406.35650
F474,12004985.70080,3459398.29517
F475,12005789.76180,3459570.62356
F476,11995756.69300,3459535.17810
F477,12004997.51970,3455144.20033
F478,12004900.10650,3455068.71196
F479,12004442.40630,3454701.07261
F480,12034784.33410,3519709.61352
F481,12033785.62970,3520072.51109
F482,12034552.17940,3520317.25043
F483,12034077.89820,3520550.11381
F484,12034387.16890,3520766.12716
F485,12033644.48040,3520437.84468
F486,12033086.43200,3520946.87318
F487,12033313.33540,3521410.06452
F488,12034040.20240,3521679.08793
F489,12034237.89620,3521181.41176
F490,12033780.72330,3522062.72528
F491,12033312.14970,3522409.80628
F492,12032805.38370,3522579.52740
F493,12033264.51960,3522777.14380
F494,12032899.49210,3523095.59428
F495,12033216.40680,3523299.53613
F496,12032842.27340,3523679.76897
F497,12033182.67720,3523875.93065
F498,12032837.80780,3524236.08150
F499,12033170.44660,3524374.14815
F500,12032786.99980,3524764.38327
F501,12033568.42610,3524247.03522
F502,12033572.84870,3523721.78102
F503,12033610.93190,3523199.01960
F504,12033919.27090,3523217.50447
F505,12034071.92840,3522837.50523
F506,12033647.94170,3522802.85012
F507,12034631.92760,3522903.91323
F508,12034321.02890,3523312.08991
F509,12034211.26180,3524472.88975
F510,12033919.98710,3524164.11314
F511,12035005.94030,3523541.38867
F512,12035352.86810,3523580.90597
F513,12034929.29540,3524441.86259
F514,12034722.78370,3524926.89082
F515,12035480.54630,3525604.40750
F516,12035591.57040,3526241.43937
F517,12034861.72600,3526358.70029
F518,12034894.13510,3526994.33583
F519,12036416.25080,3526048.64415
F520,12036077.16810,3525360.48148
F521,12035705.98550,3524646.02753
F522,12035967.82220,3523956.83731
F523,12036040.38110,3523535.65114
F524,12034812.00270,3525722.72879
F525,12036713.07630,3526740.71855
F526,12037111.50500,3526433.70309
F527,12037101.54040,3527359.56147
F528,12037554.31610,3527359.70780
F529,12037436.77660,3526923.02593
F530,12038139.57380,3526693.38761
F531,12038297.88290,3526350.61107
F532,12038704.17990,3526342.78989
F533,12039401.40690,3526261.19162
F534,12039350.05230,3525756.96265
F535,12039321.06390,3525444.47410
F536,12039600.44880,3524764.87703
F537,12039042.63430,3525453.36319
F538,12038658.95370,3525494.01173
F539,12038331.24990,3525525.88010
F540,12037068.99100,3525865.98146
F541,12037531.90050,3525697.94013
F542,12037551.26790,3525987.60293
F543,12034555.11050,3522579.55988
F544,12034032.54100,3522530.08065
F545,12034308.61920,3522355.10036
F546,12034209.60660,3522145.48168
F547,12034518.10200,3521975.24285
F548,12036356.18070,3519434.61965
F549,12036405.74850,3519238.26997
F550,12036527.93860,3518981.97816
F551,12036850.90740,3519094.24861
F552,12036790.76320,3519280.44312
F553,11992141.22520,3456276.64787
F554,11991606.50940,3456031.83438
F555,11992679.54400,3456773.80763
F556,11949703.63940,3413146.93688
F557,11948851.96960,3413175.37482
F558,11948431.11800,3412377.05424
F559,11948279.09370,3412633.35950
F560,11948228.47540,3413088.13976
F561,11947738.84840,3412676.56053
F562,11948726.48820,3411387.65136
F563,11949342.35080,3411192.87944
F564,11948876.16240,3411667.31747
F565,11949515.63690,3411976.80208
F566,11950063.13350,3411882.35739
F567,11950567.33950,3411596.26183
F568,11950008.93340,3411352.61632
F569,11950646.67820,3411326.38803
F570,11950610.25740,3411058.12938
F571,11951055.46380,3411265.46066
F572,11950742.31910,3410437.04007
F573,11951513.05710,3411926.76281
F574,12002650.15170,3458286.82757
F575,12002354.67460,3458551.09673
F576,12002246.68790,3459009.50297
F577,12003391.17640,3457891.51898
F578,12023619.25240,3509341.53649
F579,12024529.73030,3509525.29235
F580,12025306.89510,3509077.34640
F581,12028188.80790,3517136.03205
F582,12028725.13430,3516782.58624
F583,12028282.26020,3516595.95571
F584,12028744.64050,3517434.88546
F585,12029295.81560,3517486.98837
F586,12029206.89350,3517051.82356
F587,12029786.28140,3517299.53435
F588,12028875.54010,3515961.72600
F589,12029212.03550,3515997.12127
F590,12029656.71020,3516346.40830
F591,12029935.23000,3516577.73855
F592,12028279.13250,3515972.44908
F593,12028379.99000,3515305.90284
F594,12028556.02770,3514834.62491
F595,12029169.86010,3515176.59732
F596,12029813.13210,3514954.60203
F597,12030154.34890,3515105.16440
F598,12030301.28010,3515222.64776
F599,12030447.46940,3515340.07108
F600,12030776.71940,3515554.86232
F601,12030909.08070,3515590.81402
F602,12030723.80940,3515844.52283
F603,12031810.14190,3515343.73971
F604,12032268.40870,3515155.96416
F605,12032435.27650,3514628.50492
F606,12031771.87000,3514568.74126
F607,12032379.32020,3513876.37125
F608,12032275.93000,3513319.44946
F609,12032157.91740,3513184.27126
F610,12031345.37380,3512933.44302
F611,12030856.42000,3512758.85380
F612,12030522.99750,3513052.06483
F613,12030218.85770,3512830.56002
F614,12030322.53530,3512305.53318
F615,12029577.73130,3513037.56256
F616,12029152.93100,3513456.86487
F617,12029421.44160,3514170.47040
F618,12029557.25240,3513610.31338
F619,12028949.99470,3513779.34717
F620,12032799.14650,3517254.12499
F621,12021149.67400,3538588.56264
F622,12020817.47880,3537999.92340
F623,12021631.38760,3538149.03629
F624,12021408.41070,3537360.29836
F625,12021229.93340,3536738.16476
F626,12021883.54560,3536881.38495
F627,12022194.00040,3536482.13706
F628,12021923.77220,3536079.86293
F629,12022535.22930,3537298.96417
F630,12022313.95520,3538058.83010
F631,12031195.79990,3522539.57013
F632,12030677.92700,3522466.02664
F633,12030313.59080,3522424.24392
F634,12029940.82250,3522364.51175
F635,12029552.56900,3522307.97479
F636,12028497.15310,3522804.58994
F637,12028817.76760,3522557.77285
F638,12029143.00220,3522725.21051
F639,12028924.85500,3523070.89551
F640,12028977.80040,3523405.17929
F641,12028439.17820,3523298.06008
F642,12029250.88220,3525241.18218
F643,12029352.11600,3526365.55887
F644,12029051.22160,3525493.78207
F645,12029254.89310,3525764.56893
F646,12029429.56960,3526798.53044
F647,12029489.74170,3527215.96531
F648,12029488.49460,3527572.12470
F649,12029056.21760,3530574.14593
F650,12029245.64900,3530610.09106
F651,12029072.15000,3529988.98174
F652,12029412.54860,3530027.83829
F653,12028179.57700,3532213.98517
F654,12027815.40450,3532240.50086
F655,12028300.89890,3532792.88296
F656,12028439.38720,3533202.01042
F657,12028079.89840,3533445.19366
F658,12027716.25970,3533657.94455
F659,12027325.98650,3534006.09149
F660,12019257.66540,3567143.35559
F661,12018747.22440,3567564.37181
F662,12018052.98860,3567957.69911
F663,12016784.69920,3568531.94567
F664,12015908.57430,3568437.77689
F665,12015887.98870,3567753.75201
F666,12015364.76730,3567659.04977
F667,12017105.14010,3568990.40538
F668,12018497.60650,3568702.62741
F669,12019074.92160,3569305.28172
F670,12018501.74200,3569480.83091
F671,12019484.95230,3570121.11932
F672,12018805.76470,3570380.93606
F673,12018350.95390,3570009.02112
F674,12017916.28350,3570088.66696
F675,12017103.42820,3569706.72711
F676,12016824.27190,3570089.17024
F677,12015988.06560,3570062.37338
F678,12015813.27760,3570572.01967
F679,12017703.63430,3570851.30651
F680,12017395.46270,3571586.41134
F681,12017107.39700,3571572.22141
F682,12016730.92600,3571881.81167
F683,12016043.89000,3571532.78284
F684,12015787.03520,3572106.91522
F685,12016341.24240,3572454.57233
F686,12016020.84140,3572852.34057
F687,12015725.10880,3572694.80348
F688,12015627.57260,3573472.52634
F689,12017351.84570,3571991.87805
F690,12017617.70900,3572559.30802
F691,12017574.50170,3573364.44486
F692,12017319.83460,3574283.29998
F693,12017226.37180,3575004.34545
F694,12016407.96080,3575042.48350
F695,12017474.13810,3575972.64437
F696,12017490.77550,3576611.59092
F697,12016643.11280,3577014.73677
F698,12017279.99970,3578078.74153
F699,12017338.50380,3577436.87799
F700,11992839.33560,3498709.25723
F701,11987628.84610,3528173.38071
F702,12005058.87810,3530893.43138
F703,12019784.30870,3519354.49645
F704,12025112.05160,3519475.92600
F705,12025595.26950,3519417.80374
F706,12025764.26490,3519589.47826
F707,12026604.72220,3520338.05550
F708,12025546.29250,3520417.83192
F709,12025713.10220,3520457.59890
F710,12026059.10160,3519865.88125
F711,12034817.82450,3534488.73751
F712,12036455.69950,3485960.12492
F713,12029301.12460,3518640.46966
F714,12029868.68150,3519501.35475
F715,12030580.47800,3518540.02170
F716,12030859.16280,3518982.80428
F717,12026170.51310,3520743.62654
F718,12027095.73830,3520678.51873
F719,12026934.36420,3520816.46990
F720,12027412.30390,3521233.70824
F721,12027232.57200,3521479.35768
F722,12027930.97150,3521452.72880
F723,12028307.92020,3521772.08085
F724,12027940.04070,3521911.14389
F725,12028141.61900,3522041.35033
F726,12028855.92140,3521736.48053
F727,12029159.39920,3522080.99264
F728,12028778.52000,3522120.06966
F729,12028472.87170,3522320.95541
F730,12027106.21720,3521780.23668
F731,12027691.49630,3522178.22341
F732,12027888.26720,3522306.95413
F733,12028223.59300,3522652.66899
F734,12027158.64860,3522293.32751
F735,12026794.99280,3522757.77540
F736,12026297.50500,3522840.80116
F737,12026430.10840,3522517.53048
F738,12026705.07600,3522194.81951
F739,12027095.49480,3523009.08363
F740,12027436.58210,3522929.42565
F741,12027471.64010,3523252.51227
